Model:	LI-7810
SN:	TG10-01166
Software Version:	2.0.22
Timestamp:	2021-04-08 14:26:25
Timezone:	Europe/Berlin
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1617885018	539915084	945	256	2021-04-08	14:30:18	nan	nan	nan	101.546	26.0811	101.615	43.5378	0	0	26.7441	-16000	0	23.636	 16
DATA	1617885019	539915084	949	256	2021-04-08	14:30:19	nan	nan	nan	101.547	26.0927	101.617	43.5378	0	0	26.7571	-16000	0	23.636	 37
DATA	1617885021	39915084	955	256	2021-04-08	14:30:21	nan	nan	nan	101.549	26.1234	101.619	43.5378	0	0	26.7915	-16000	0	23.636	221
DATA	1617885022	39915084	959	256	2021-04-08	14:30:22	nan	nan	nan	101.549	26.137	101.619	43.5378	0	0	26.8065	-16000	0	23.6356	230
DATA	1617885023	539586067	965	256	2021-04-08	14:30:23	nan	nan	nan	101.55	26.1684	101.62	43.5378	0	0	26.8419	-16000	0	23.636	181
DATA	1617885026	39586067	975	256	2021-04-08	14:30:26	nan	nan	nan	101.55	26.2137	101.62	43.5378	0	0	26.892	-16000	0	23.6352	127
DATA	1617885027	289586067	980	256	2021-04-08	14:30:27	nan	nan	nan	101.548	26.2388	101.617	43.5378	0	0	26.9196	-16000	0	23.6344	 96
DATA	1617885028	789586067	986	256	2021-04-08	14:30:28	nan	nan	nan	101.548	26.2626	101.617	43.5378	0	0	26.9463	-16000	0	23.6344	101
DATA	1617885030	41383981	832	256	2021-04-08	14:30:30	nan	nan	nan	101.56	25.5756	101.629	43.5378	0	0	26.1717	-16000	0	23.636	165
DATA	1617885031	39319992	995	256	2021-04-08	14:30:31	nan	nan	nan	101.548	26.3045	101.615	43.5378	0	0	26.9936	-16000	0	23.6344	 29
DATA	1617885032	41383981	840	256	2021-04-08	14:30:32	nan	nan	nan	101.558	25.6051	101.63	43.5377	0	0	26.206	-16000	0	23.6372	150
DATA	1617885033	539319992	1005	256	2021-04-08	14:30:33	nan	nan	nan	101.541	26.3501	101.611	43.5378	0	0	27.0436	-16000	0	23.636	 40
DATA	1617885037	289319992	1020	256	2021-04-08	14:30:37	nan	nan	nan	101.54	26.4135	101.61	43.5378	0	0	27.1131	-16000	0	23.6355	254
DATA	1617885042	288954973	1040	256	2021-04-08	14:30:42	nan	nan	nan	101.54	26.5021	101.609	43.5378	0	0	27.2107	-16000	0	23.6356	 51
DATA	1617885047	538763999	1061	256	2021-04-08	14:30:47	nan	nan	nan	101.536	26.6024	101.607	43.5378	0	0	27.3205	-16000	0	23.6344	120
DATA	1617885048	38763999	1063	256	2021-04-08	14:30:48	nan	nan	nan	101.54	26.6101	101.607	43.5378	0	0	27.3295	-16000	0	23.6328	 25
DATA	1617885050	38763999	1071	256	2021-04-08	14:30:50	nan	nan	nan	101.536	26.6417	101.604	43.5371	0	0	27.364	-16000	0	23.6344	  7
DATA	1617885051	788763999	1078	256	2021-04-08	14:30:51	nan	nan	nan	101.536	26.676	101.603	43.5378	0	0	27.4016	-16000	0	23.6349	 86
DATA	1617885052	288763999	1080	256	2021-04-08	14:30:52	nan	nan	nan	101.536	26.687	101.604	43.5378	0	0	27.4135	-16000	0	23.6336	 77
DATA	1617885053	288763999	1084	256	2021-04-08	14:30:53	nan	nan	nan	101.536	26.6992	101.604	43.5378	0	0	27.4271	-16000	0	23.6336	137
DATA	1617885054	288320064	1088	256	2021-04-08	14:30:54	nan	nan	nan	101.535	26.7176	101.604	43.5377	0	0	27.4476	-16000	0	23.634	 62
DATA	1617885056	788320064	1098	256	2021-04-08	14:30:56	nan	nan	nan	101.535	26.7678	101.602	43.5375	0	0	27.5022	-16000	0	23.6344	115
DATA	1617885057	288320064	1100	256	2021-04-08	14:30:57	nan	nan	nan	101.534	26.7772	101.602	43.5378	0	0	27.5118	-16000	0	23.6344	 99
DATA	1617885058	538320064	1105	256	2021-04-08	14:30:58	nan	nan	nan	101.535	26.8029	101.602	43.5378	0	0	27.5397	-16000	0	23.6328	112
DATA	1617885062	288099050	1120	256	2021-04-08	14:31:02	nan	nan	nan	101.536	26.8645	101.602	43.5378	0	0	27.6076	-16000	0	23.6344	102
DATA	1617885064	288099050	1128	256	2021-04-08	14:31:04	nan	nan	nan	101.536	26.8983	101.604	43.5377	0	0	27.6444	-16000	0	23.6344	119
DATA	1617885067	288099050	1140	256	2021-04-08	14:31:07	nan	nan	nan	101.537	26.9538	101.604	43.5377	0	0	27.7036	-16000	0	23.634	 63
DATA	1617885071	287714958	1156	256	2021-04-08	14:31:11	nan	nan	nan	101.534	27.0248	101.601	43.5378	0	0	27.7816	-16000	0	23.6344	113
DATA	1617885074	287714958	1168	256	2021-04-08	14:31:14	nan	nan	nan	101.532	27.0798	101.598	43.5378	0	0	27.8404	-16000	0	23.634	 87
DATA	1617885075	537714958	1173	256	2021-04-08	14:31:15	nan	nan	nan	101.532	27.1102	101.597	43.5378	0	0	27.8732	-16000	0	23.6344	118
DATA	1617885077	37396907	1179	256	2021-04-08	14:31:17	nan	nan	nan	101.532	27.1349	101.597	43.5378	0	0	27.899	-16000	0	23.6344	 46
DATA	1617885083	537322998	1205	256	2021-04-08	14:31:23	nan	nan	nan	101.531	27.2523	101.597	43.5378	0	0	28.0257	-16000	0	23.6328	115
DATA	1617885084	37322998	1207	256	2021-04-08	14:31:24	nan	nan	nan	101.532	27.2616	101.595	43.5378	0	0	28.0356	-16000	0	23.6328	 68
DATA	1617885088	37322998	1223	256	2021-04-08	14:31:28	nan	nan	nan	101.529	27.3285	101.594	43.5378	0	0	28.1077	-16000	0	23.6336	 82
DATA	1617885097	536875963	1261	256	2021-04-08	14:31:37	nan	nan	nan	101.526	27.5058	101.59	43.5378	0	0	28.2967	-16000	0	23.6328	 96
DATA	1617885098	536487102	1265	256	2021-04-08	14:31:38	nan	nan	nan	101.526	27.5193	101.591	43.5378	0	0	28.3114	-16000	0	23.6325	117
DATA	1617885099	36487102	1267	256	2021-04-08	14:31:39	nan	nan	nan	101.526	27.5331	101.589	43.5378	0	0	28.3257	-16000	0	23.6328	 80
DATA	1617885104	36487102	1287	256	2021-04-08	14:31:44	nan	nan	nan	101.525	27.6197	101.589	43.5378	0	0	28.4175	-16000	0	23.6328	 75
DATA	1617885105	36487102	1291	256	2021-04-08	14:31:45	nan	nan	nan	101.525	27.6372	101.59	43.5378	0	0	28.436	-16000	0	23.6325	212
DATA	1617885111	286166906	1316	256	2021-04-08	14:31:51	nan	nan	nan	101.523	27.7579	101.587	43.5378	0	0	28.5642	-16000	0	23.6328	126
DATA	1617885114	35906076	1327	256	2021-04-08	14:31:54	nan	nan	nan	101.523	27.8032	101.587	43.5378	0	0	28.6117	-16000	0	23.6328	 61
DATA	1617885116	35906076	1335	256	2021-04-08	14:31:56	nan	nan	nan	101.524	27.8372	101.587	43.5378	0	0	28.6484	-16000	0	23.6328	 79
